live_code,live_name,live_url
BL_001,🎉비에날씬 5주년 특집,https://view.shoppinglive.naver.com/replays/1143293?fm=shoppinglive&sn=home
BL_002,비에날씬과 함께 봄을 준비해봄 (~67%),https://view.shoppinglive.naver.com/replays/1575904?fm=shoppinglive&sn=home
BL_003,🌡비에날씬x네쇼라(67%+N페이+사은품),https://view.shoppinglive.naver.com/replays/1052754?fm=shoppinglive&sn=home
BL_004,🎈비에날씬x네쇼라(67%+준오헤어 헤드스파+N페이),https://view.shoppinglive.naver.com/replays/992186?fm=shoppinglive&sn=home
BL_005,[비에날씬] 최대 67% + 상품권 증정 + 내일도착,https://view.shoppinglive.naver.com/replays/682430?fm=shoppinglive&sn=home
BL_006,비에날씬 새해맞이 역대급 할인! (~67%),https://view.shoppinglive.naver.com/replays/1532694?fm=shoppinglive&sn=home
BL_007,[비에날씬] BNR17 Day 역대급 라이브 혜택,https://view.shoppinglive.naver.com/replays/569738?fm=shoppinglive&sn=home
BL_008,비에날씬 브랜드 대상 3관왕 기념 라이브(~67%),https://view.shoppinglive.naver.com/replays/1440451?fm=shoppinglive&sn=home
BL_009,[비에날씬 2022년 감사제] 🎉 최대 70% 할인,https://view.shoppinglive.naver.com/replays/757847?fm=shoppinglive&sn=home
BL_010,10월 23일 네쇼라,https://view.shoppinglive.naver.com/lives/1738217?fm=shoppinglive&sn=home
BL_011,비에날씬 얼리썸머 위크 (~67%),https://view.shoppinglive.naver.com/replays/1358032?fm=shoppinglive&sn=home
BL_012,비에날씬 역대급 할인 페스타 (~67%+1개월 증정+23만원 페이백),https://view.shoppinglive.naver.com/replays/1655832?fm=shoppinglive&sn=home
BL_013,"비에날씬 1,200만개 판매돌파 기념 라이브(~67%)",https://view.shoppinglive.naver.com/replays/1383784?fm=shoppinglive&sn=home
BL_014,비에날씬 쿨한 세일! (~67%+23만원 페이백+비에날씬 증정) 💚,https://view.shoppinglive.naver.com/replays/1655829?fm=shoppinglive&sn=home
BL_015,비에날씬과 가정의 달 미리 준비해 봄🌺 (~67%),https://view.shoppinglive.naver.com/replays/1292817?fm=shoppinglive&sn=home
BL_016,비에날씬 더블 혜택 앵콜 세일 (~67%),https://view.shoppinglive.naver.com/replays/1563568?fm=shoppinglive&sn=home
BL_017,10월 15일 네이버 쇼핑라이브,https://view.shoppinglive.naver.com/lives/1738212?fm=shoppinglive&sn=home
BL_018,🌸비에날몰 가정의달 선물 특집 (67%+특별사은품),https://view.shoppinglive.naver.com/replays/903943?fm=shoppinglive&sn=home
BL_019,비에날씬 2월엔 2배 혜택(~67%),https://view.shoppinglive.naver.com/replays/1552334?fm=shoppinglive&sn=home
BL_020,1000만개 돌파 기념 특집 라이브,https://view.shoppinglive.naver.com/replays/1205878?fm=shoppinglive&sn=home
BL_021,비에날씬 7월 마지막 최대 할인! (~67%) 💚,https://view.shoppinglive.naver.com/replays/1692648?fm=shoppinglive&sn=home
