prod_code,prod_name,prod_url,prod_price
BP_001,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,https://smartstore.naver.com/main/products/4755872512,198000
BP_002,[네쇼라 단독 상품] 비에날씬 6개월 + 비에날씬 10포,https://smartstore.naver.com/main/products/7679486078,626500
BP_003,[네쇼라 단독 상품] 비에날퀸 6개월 + 비에날씬 10포,https://smartstore.naver.com/main/products/7679491257,800500
BP_004,[네쇼라 단독 상품] 비에날씬 플러스 6개월 + 비에날씬 10포,https://smartstore.naver.com/main/products/7679503746,626500
BP_005,BNR17 비에날퀸 갱년기유산균 회화열매 모유유래유산균 3개월 캡슐,https://smartstore.naver.com/main/products/4832896786,229000
BP_006,BNR17 비에날씬플러스 다이어트유산균 모유유래 체지방감소 3개월분말,https://smartstore.naver.com/main/products/4691840799,208000
BP_007,"[네쇼라 단독 상품] 관절엔 아나파랙틴 3개월+1개월 (파랙틴, 천심련추출물, NAG, 비타민D 함유, 안드로그라폴라이드, 관절건강+연골건강+뼈건강)",https://smartstore.naver.com/main/products/10222968411,356000
BP_008,관절엔 아나파랙틴 1개월 (파랙틴 천심련추출물 NAG 비타민D 함유 안드로그라폴라이드 관절건강+연골건강+뼈건강),https://smartstore.naver.com/main/products/8325070108,69000
BP_009,"[네쇼라 단독 상품] 아나파랙틴 밤 1+1 (바르는 천심련, 파랙틴)",https://smartstore.naver.com/main/products/10222975495,78000
BP_010,비에날 굿브레스 1box,https://smartstore.naver.com/main/products/9871301215,39000
BP_011,"에이스바이옴 멀티비타민 3box, 6개월분",https://smartstore.naver.com/main/products/10769639189,120000
BP_012,"관절엔 아나파랙틴 3개월 (천심련추출물, 비타민K, 비타민D,안드로그라폴라이드)",https://smartstore.naver.com/main/products/11360449716,159000
BP_013,"관절엔 아나파랙틴 1개월 (천심련추출물, 비타민K, 비타민D,안드로그라폴라이드)",https://smartstore.naver.com/main/products/11382925158,63000
BP_014,에트나케어 ROCH 피부건강 당귤농축분말 레드오렌지추출물 헤스페리딘 3개월,https://smartstore.naver.com/main/products/10927212363,105000
BP_015,[7월 타임딜] 비에날씬 플러스 10포,https://smartstore.naver.com/main/products/12100923134,11000
