prod_code,prod_name,prod_url,prod_price
LP_001,"종근당건강 락토핏 골드 50포, 6개",https://smartstore.naver.com/main/products/8231057228,65900
LP_002,"종근당건강 지엘핏 다이어트 30캡슐, 1개",https://smartstore.naver.com/main/products/10523195471,59000
LP_003,"(구형)[+이뮨샷 5병 추가증정] 종근당건강 아임비타 앰플 멀티비타민 이뮨샷 30개입, 1개",https://smartstore.naver.com/main/products/7465955298,75000
LP_004,"(구형)[+이뮨샷 14병 추가증정] 종근당건강 아임비타 앰플 멀티비타민 이뮨샷 30개입, 2개",https://smartstore.naver.com/main/products/7910393231,148000
LP_005,종근당건강 락토핏 골드 생유산균 11통(550일분),https://smartstore.naver.com/main/products/8302716367,109900
LP_006,"종근당건강 락토핏 코어 60포, 3개",https://smartstore.naver.com/main/products/8302757539,39900
LP_007,"종근당건강 락토핏 당케어 60포, 4개",https://smartstore.naver.com/main/products/9879985791,62900
LP_008,"종근당건강 프로메가 알티지 오메가3 듀얼 60캡슐, 5개",https://smartstore.naver.com/main/products/8304079386,59900
LP_009,"[루지아 +12일분 증정] 종근당건강 아이클리어 루테인지아잔틴 30캡슐, 6개",https://smartstore.naver.com/main/products/6468944204,71900
LP_010,"[멤버십 10%적립] 종근당건강 프로메가 오메가3 트리플 60캡슐, 6개",https://smartstore.naver.com/main/products/8302727992,71000
LP_011,"[+알티지오메가3 2주분 증정] 종근당건강 락토핏 솔루션 예민한 장 30캡슐, 3개",https://smartstore.naver.com/main/products/8302770647,54900
LP_012,"[+멤버십 10%적립,용돈봉투증정] 종근당건강 관절연골 뮤코다당단백 콘드로이친 60정, 5개",https://smartstore.naver.com/main/products/9957753762,83100
LP_013,"종근당건강 아임비타 멀티비타민 데일리 60정, 6개",https://smartstore.naver.com/main/products/7540161937,65900
LP_014,"종근당건강 락토핏 골드 50포, 3개",https://smartstore.naver.com/main/products/8231072886,36900
LP_015,"종근당건강 락토핏 키즈 60포, 2개",https://smartstore.naver.com/main/products/8205109754,28900
LP_016,"종근당건강 락토핏 맘스 60포, 2개",https://smartstore.naver.com/main/products/8302717070,43900
LP_017,"종근당건강 락토핏 슬림 60포, 2개",https://smartstore.naver.com/main/products/8205114387,33900
LP_018,"종근당건강 락토핏 간케어 60포, 3개",https://smartstore.naver.com/main/products/9879610013,56900
LP_019,종근당건강 아임비타 면역 비타민C 아연 200포 1박스(100일분),https://smartstore.naver.com/main/products/8063465764,45000
LP_020,"종근당건강 아임비타 리포좀 비타민C 30정, 3개",https://smartstore.naver.com/main/products/9979260261,52900
LP_021,"종근당건강 아임비타 칼슘 마그네슘 비타민D 120정, 1개",https://smartstore.naver.com/main/products/7982766019,19900
LP_022,종근당건강 프로메가 알티지오메가3 듀얼 장용성 소형캡슐 5박스(5개월분),https://smartstore.naver.com/main/products/4730795925,59500
LP_023,[스토어찜] 종근당건강 아이클리어 루테인지아잔틴 6박스(6개월분) 눈영양제,https://smartstore.naver.com/main/products/4772446359,79900
LP_024,종근당건강 락토핏 키즈 2통(xx120일분) / 비타민D 아연,https://smartstore.naver.com/main/products/4822064242,39900
LP_025,종근당건강 올앳미 기능성 고함량 어린 콜라겐 3270 1박스(1개월분) /피부건강,https://smartstore.naver.com/main/products/5535672653,37900
LP_026,종근당건강 올앳미 마시는 고함량 저분자 태연 콜라겐 3270 앰플 1박스(25ml x 14병),https://smartstore.naver.com/main/products/5948359009,51900
LP_027,종근당건강 코어틴 그린프로틴 쉐이크 1박스(18입) 고함량 단백질 음료,https://smartstore.naver.com/main/products/5948316774,35100
LP_028,종근당건강 코어틴 그린프로틴바 2박스(4개입)/ 고함량 단백질바,https://smartstore.naver.com/main/products/5817155590,17900
LP_029,종근당건강 면역비타민C 아연분말스틱 200포(100일분) 1박스,https://smartstore.naver.com/main/products/5697977944,25900
LP_030,"[+쇼핑백증정] 종근당건강 아임비타 앰플 멀티비타민 이뮨샷 30개입, 1개",https://smartstore.naver.com/main/products/11202249566,75000
LP_031,[멤버십 10%적립 + 네이버단독] 종근당건강 락토핏 당케어 360 기획세트(360일분),https://smartstore.naver.com/main/products/11217809248,81900
LP_032,[네이버단독] 종근당건강 락토핏 골드 360 라인프렌즈 기획세트(360일분),https://smartstore.naver.com/main/products/11217819811,73900
LP_033,"종근당건강 락토핏 코어 60포, 6개",https://smartstore.naver.com/main/products/8302758133,76900
LP_034,"[+락토핏 골드 30포 증정] 종근당건강 락토핏 키즈 60포, 6개",https://smartstore.naver.com/main/products/11158930473,83900
LP_035,"종근당건강 아임비타 고함량 비타민D 2000IU 60캡슐, 3개",https://smartstore.naver.com/main/products/7414888809,29900
LP_036,"종근당건강 아임비타 칼슘 마그네슘 비타민D 120정, 3개",https://smartstore.naver.com/main/products/11379172614,41000
