live_code,live_name,live_url,prod_codes
DL_001,[더보장데이] 덴프스❤️ 최다혜택 보장 LIVE,https://view.shoppinglive.naver.com/replays/1330846?fm=shoppinglive&sn=home,"DP_001,DP_002,DP_003,DP_004,DP_005,DP_006,DP_007,DP_008,DP_009,DP_010,DP_011,DP_012,DP_013,DP_014,DP_015,DP_016,DP_017,DP_018,DP_019,DP_020,DP_021,DP_022,DP_023"
DL_002,[덴프스] 단하루! 신년맞이 HAPPY NEW LIVE,https://view.shoppinglive.naver.com/replays/789424?fm=shoppinglive&sn=home,
DL_003,[덴프스]🎉강세일 중 최강혜택👍 최강세일 LIVE,https://view.shoppinglive.naver.com/replays/1464552?fm=shoppinglive&sn=home,
DL_004,[덴프스] 고객 42만 돌파! 🎉고객 감사 특가 라이브💕,https://view.shoppinglive.naver.com/replays/1651067?fm=shoppinglive&sn=home,"DP_024,DP_025,DP_002,DP_001,DP_026,DP_027,DP_028,DP_005,DP_029,DP_030,DP_031,DP_032,DP_033,DP_034,DP_035,DP_009,DP_036,DP_037,DP_038,DP_039,DP_040,DP_041,DP_042,DP_043,DP_044,DP_045,DP_046,DP_047,DP_048,DP_049,DP_050,DP_051,DP_052,DP_053,DP_054,DP_055,DP_056,DP_057,DP_058,DP_019,DP_059,DP_060,DP_061"
DL_005,[덴프스] 덴프스와 가볍게! 데일리 루틴 LIVE,https://view.shoppinglive.naver.com/replays/1117015?fm=shoppinglive&sn=home,"DP_004,DP_002,DP_031,DP_062,DP_063,DP_064,DP_006,DP_033,DP_010,DP_065,DP_052,DP_066,DP_030,DP_048"
DL_006,[블루밍데이즈] 엄마와 아이 모두의 건강메이트 덴프스,https://view.shoppinglive.naver.com/replays/979738?fm=shoppinglive&sn=home,"DP_067,DP_030,DP_068,DP_048,DP_058,DP_069,DP_070,DP_071,DP_072,DP_033,DP_073,DP_074"
DL_007,더욱 반짝이는 새해를 위해 이너뷰티라이브! ~68%,https://view.shoppinglive.naver.com/replays/370087?fm=shoppinglive&sn=home,"DP_075,DP_076,DP_077"
DL_008,🎉브랜드데이X유산균 11주년 마지막 라이브!,https://view.shoppinglive.naver.com/replays/1504267?fm=shoppinglive&sn=home,"DP_001,DP_078,DP_079,DP_029,DP_005,DP_030,DP_080,DP_024,DP_002,DP_031,DP_049,DP_081,DP_082,DP_033,DP_025,DP_008,DP_058,DP_034,DP_083,DP_084,DP_085,DP_086,DP_087,DP_016,DP_088,DP_040,DP_039,DP_042,DP_046,DP_089,DP_037,DP_090,DP_091,DP_026,DP_092,DP_004,DP_035,DP_093,DP_094"
DL_009,💗덴프스 봄 맞이 블루밍데이즈 LIVE💗,https://view.shoppinglive.naver.com/replays/1544450?fm=shoppinglive&sn=home,"DP_001,DP_002,DP_028,DP_005,DP_024,DP_031,DP_029,DP_081,DP_095,DP_034,DP_037,DP_038,DP_040,DP_079,DP_041,DP_046,DP_044,DP_042,DP_096,DP_097,DP_058,DP_098,DP_045,DP_078,DP_030"
DL_010,[덴프스] 추석 특선물 앵콜 LIVE🎁 최대 혜택 준비 완료!,https://view.shoppinglive.naver.com/replays/1742269?fm=shoppinglive&sn=home,"DP_024,DP_082,DP_025,DP_001,DP_050,DP_037,DP_079,DP_028,DP_005,DP_099,DP_029,DP_060,DP_100,DP_009,DP_061,DP_030,DP_048,DP_031,DP_035,DP_033,DP_019,DP_034,DP_101,DP_053,DP_036,DP_088,DP_055,DP_039,DP_102,DP_042,DP_103,DP_104,DP_105,DP_106,DP_045,DP_107,DP_027,DP_108,DP_096,DP_059,DP_058"
