live_code,live_name,live_url,prod_codes
LL_001,종근당건강 브랜드데이 라이브 특가!,https://view.shoppinglive.naver.com/replays/1450097?fm=shoppinglive&sn=home,"LP_001,LP_002,LP_003,LP_004,LP_005,LP_006,LP_007,LP_008,LP_009,LP_010,LP_011,LP_012,LP_013,LP_014,LP_015,LP_016,LP_017,LP_018"
LL_002,종근당건강 단 1시간 ✨라이브특가✨,https://view.shoppinglive.naver.com/replays/1466017?fm=shoppinglive&sn=home,"LP_001,LP_004,LP_003,LP_005,LP_002,LP_009,LP_008,LP_006,LP_011,LP_007,LP_010,LP_012,LP_013,LP_014,LP_015,LP_016,LP_018,LP_019,LP_020,LP_021,LP_022,LP_023,LP_024"
LL_003,종근당건강 라이브 전제품💛빅세일💛,https://view.shoppinglive.naver.com/replays/1603632?fm=shoppinglive&sn=home,"LP_025,LP_026,LP_027,LP_009,LP_005,LP_001,LP_028,LP_029,LP_012,LP_010,LP_030,LP_023,LP_031,LP_032"
LL_004,[최대35%]단하루 특가!+라이브 단독 사은품100%,https://view.shoppinglive.naver.com/replays/313027?fm=shoppinglive&sn=home,"LP_033,LP_034"
LL_005,종근당건강 최대 51%! 💥단하루 설특집 혜택💥,https://view.shoppinglive.naver.com/replays/1524172?fm=shoppinglive&sn=home,"LP_006,LP_025,LP_026,LP_035,LP_001,LP_036,LP_028,LP_037,LP_038,LP_039,LP_040,LP_041,LP_005,LP_042,LP_018"
LL_006,"""락토핏,프로메가 추석 건강선물세트""~45% 파격세일!",https://view.shoppinglive.naver.com/replays/227685?fm=shoppinglive&sn=home,"LP_043,LP_042,LP_044,LP_018,LP_045,LP_046,LP_047,LP_048,LP_049,LP_050"
LL_007,[장건강특집💪] 전국민 장건강 응원해!,https://view.shoppinglive.naver.com/replays/430858?fm=shoppinglive&sn=home,"LP_051,LP_049,LP_034,LP_052,LP_053,LP_054,LP_055,LP_043,LP_042,LP_044,LP_056"
LL_008,[한국축구 응원해요] 종근당건강 브랜드데이 1시간 특가,https://view.shoppinglive.naver.com/replays/708702?fm=shoppinglive&sn=home,"LP_057,LP_058,LP_049,LP_003,LP_059,LP_060,LP_010,LP_061,LP_055,LP_062,LP_063"
LL_009,종근당건강 🔥브랜드데이 ~55%🔥라이브중에만 추가혜택!,https://view.shoppinglive.naver.com/replays/1649916?fm=shoppinglive&sn=home,"LP_025,LP_064,LP_026,LP_065,LP_027,LP_001,LP_009,LP_008,LP_028,LP_031,LP_032,LP_029,LP_005,LP_010,LP_014,LP_030,LP_019,LP_021,LP_022,LP_066"
LL_010,[UP TO 30%] 💙아이클리어 신상 론칭쇼!,https://view.shoppinglive.naver.com/replays/544178?fm=shoppinglive&sn=home,"LP_067,LP_068,LP_069,LP_044,LP_070,LP_071,LP_057,LP_072,LP_073,LP_034,LP_053,LP_074,LP_055,LP_075"
LL_011,종근당건강 최대 50%! 💥단 60분 추가쿠폰발행💥,https://view.shoppinglive.naver.com/replays/1550298?fm=shoppinglive&sn=home,"LP_001,LP_026,LP_025,LP_028,LP_039,LP_005,LP_009,LP_008,LP_012,LP_029,LP_010,LP_031"
LL_012,종근당건강 브랜드데이! BIG SALE🎉,https://view.shoppinglive.naver.com/replays/491793?fm=shoppinglive&sn=home,"LP_057,LP_058,LP_043,LP_034,LP_042,LP_018,LP_076,LP_044,LP_074,LP_053,LP_055,LP_049,LP_056"
LL_013,빠른배송위크 20%할인+13%적립! 오늘주문오늘출발🚚,https://view.shoppinglive.naver.com/replays/479406?fm=shoppinglive&sn=home,"LP_057,LP_058,LP_034,LP_074,LP_049,LP_043,LP_033,LP_077,LP_078"
