prod_code,prod_name,prod_url
DP_001,"덴마크 유산균이야기 60캡슐, 4개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=2040214150&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F2040214150&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_002,"트루바이타민 I 30포, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=6639630476&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6639630476&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_003,"덴마크 유산균이야기 우먼 60캡슐, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=9182943741&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F9182943741&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_004,"콜라겐 스킨부스터 14포, 6개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=10208490043&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10208490043&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_005,"덴마크 유산균이야기 60캡슐, 6개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=5924012925&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5924012925&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_006,"마그네슘 솔루션 30포, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=7702437800&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7702437800&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_007,"덴마크 유산균이야기 다이어트 28캡슐, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=9435054524&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F9435054524&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_008,"식물성 알티지오메가3 60캡슐, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=5965419781&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5965419781&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_009,덴프스 혈당케어 프로 6박스/12개월분,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8789274221&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8789274221&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_010,"덴마크 유산균이야기 키즈 30포, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=2760737817&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F2760737817&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_011,선착순 100개 한정 헬리녹스X덴프스 올 케어 패키지,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=10422796873&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10422796873&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_012,선물세트 트루바이타민 오리지널 4개월/4B (스페셜 에디션) + 쇼핑백,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=10361244580&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10361244580&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_013,덴프스 혈당케어 슬림 3개월/3BOX,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=9901495818&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F9901495818&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_014,덴프스 덴마크 유산균이야기 베베D 3박스/3개월,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=5694474557&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5694474557&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_015,덴프스 트루바이타민X 1개월/1BOX,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=5914792655&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5914792655&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_016,덴프스 덴마크 프로틴밀 파우치 1포X28개 + 2포 증정,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=10524931971&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10524931971&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_017,"트루바이타민 키즈 면역젤리 14포, 4개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=6639822828&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6639822828&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_018,덴프스 비타민D 츄어블4000IU 6개월/3BOX,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=7792044857&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7792044857&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_019,"덴프스 루테인 지아잔틴 MAX 30캡슐, 6개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=5539114542&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5539114542&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_020,덴프스 비오틴 밸런스 4BOX/ 4개월분,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=7873064456&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7873064456&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_021,"덴프스 철분 서포트 60캡슐, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8605788594&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8605788594&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_022,덴프스 코큐텐 더블케어 3개월/3BOX,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8555201758&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8555201758&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_023,"덴프스 활성엽산 서포트 60캡슐, 2개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=7944892945&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7944892945&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_024,덴프스 트루바이타민 구미 3팩 + 3팩 / 총 12주분,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8823017971&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8823017971&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_025,"덴프스 칼마디 본케어 90캡슐, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8631244514&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8631244514&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_026,덴프스 크랜베리 우먼 3개월/3BOX,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8607217540&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8607217540&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_027,"덴프스 식물성알티지오메가3 아이케어 60캡슐, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=9057218462&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F9057218462&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_028,"비타민C 바이탈 30포, 3개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=7926391095&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7926391095&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
DP_029,덴프스 아연 이뮨케어 3개월/3BOX,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1401984&channelProductNo=8696229441&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F8696229441&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
