prod_code,prod_name,prod_price,prod_url
LP_001,"종근당건강 락토핏 골드 50포, 6개",65900,https://smartstore.naver.com/main/products/8231057228
LP_002,"종근당건강 락토핏 코어 60포, 3개",39900,https://smartstore.naver.com/main/products/8302757539
LP_003,"(구형)[+이뮨샷 5병 추가증정] 종근당건강 아임비타 앰플 멀티비타민 이뮨샷 30개입, 1개",75000,https://smartstore.naver.com/main/products/7465955298
LP_004,"(구형)[+이뮨샷 14병 추가증정] 종근당건강 아임비타 앰플 멀티비타민 이뮨샷 30개입, 2개",148000,https://smartstore.naver.com/main/products/7910393231
LP_005,"종근당건강 프로메가 알티지 오메가3 듀얼 60캡슐, 5개",59900,https://smartstore.naver.com/main/products/8304079386
LP_006,"락토핏 골드 선물세트 150포, 1개",34600,https://smartstore.naver.com/main/products/8231059833
LP_007,종근당건강 락토핏 골드 생유산균 11통(550일분),109900,https://smartstore.naver.com/main/products/8302716367
LP_008,"종근당건강 락토핏 당케어 60포, 4개",62900,https://smartstore.naver.com/main/products/9879985791
LP_009,"[+멤버십 10%적립] 종근당건강 프로메가 오메가3 트리플 60캡슐, 6개",71000,https://smartstore.naver.com/main/products/8302727992
LP_010,"[+골드30포증정] 종근당건강 아이클리어 루테인지아잔틴 30캡슐, 6개",71900,https://smartstore.naver.com/main/products/6468944204
LP_011,"종근당건강 지엘핏 다이어트 30캡슐, 1개",59000,https://smartstore.naver.com/main/products/10523195471
LP_012,"[+알티지오메가3 2주분 증정] 종근당건강 락토핏 솔루션 예민한 장 30캡슐, 3개",54900,https://smartstore.naver.com/main/products/8302770647
LP_013,"[+멤버십 10%적립] 종근당건강 관절연골 뮤코다당단백 콘드로이친 60정, 5개",83100,https://smartstore.naver.com/main/products/9957753762
LP_014,"종근당건강 아임비타 멀티비타민 데일리 60정, 6개",65900,https://smartstore.naver.com/main/products/7540161937
LP_015,"종근당건강 락토핏 키즈 60포, 2개",28900,https://smartstore.naver.com/main/products/8205109754
LP_016,"종근당건강 아임비타 칼슘 마그네슘 비타민D 120정, 1개",19900,https://smartstore.naver.com/main/products/7982766019
LP_017,"종근당건강 락토핏 당케어 선물세트 90포, 1개",37000,https://smartstore.naver.com/main/products/10245983988
LP_018,종근당건강 홍삼녹용 프리미엄 30포 3+1세트,57900,https://smartstore.naver.com/main/products/711413036
LP_019,"[+알티지오메가3 2주분 증정] 종근당건강 락토핏 솔루션 둔감한 장 30캡슐, 3개",54900,https://smartstore.naver.com/main/products/8302769770
LP_020,"종근당건강 락토핏 맘스 60포, 2개",43900,https://smartstore.naver.com/main/products/8302717070
LP_021,"종근당건강 락토핏 슬림 60포, 2개",33900,https://smartstore.naver.com/main/products/8205114387
LP_022,"종근당건강 락토핏 간케어 60포, 3개",56900,https://smartstore.naver.com/main/products/9879610013
LP_023,"종근당건강 아임비타 고함량 비타민D 2000IU 60캡슐, 3개",29900,https://smartstore.naver.com/main/products/7414888809
LP_024,"종근당건강 아임비타 리포좀 비타민C 30정, 3개",52900,https://smartstore.naver.com/main/products/9979260261
LP_025,[+골드30포증정][네이버단독] 종근당건강 락토핏 골드 360 라인프렌즈 기획세트(360일분),73900,https://smartstore.naver.com/main/products/11217819811
LP_026,[+멤버십 10%적립] 종근당건강 락토핏 당케어 360 기획세트(360일분),81900,https://smartstore.naver.com/main/products/11217809248
