prod_code,prod_name,prod_url
BP_001,BNR17 비에날씬 다이어트 유산균 모유유래 체지방감소 3개월 캡슐,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=4755872512&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4755872512&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_002,BNR17 비에날퀸 갱년기유산균 회화열매 모유유래유산균 3개월 캡슐,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=4832896786&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4832896786&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_003,BNR17 비에날씬플러스 다이어트유산균 모유유래 체지방감소 3개월분말,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=4691840799&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4691840799&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_004,[네쇼라 단독 상품] 비에날씬 6개월 + 멀티비타민 1box(2개월분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=11218024098&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F11218024098&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_005,[네쇼라 단독 상품] 비에날퀸 6개월 + 멀티비타민 1box(2개월분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=11218019754&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F11218019754&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_006,[네쇼라 단독 상품] 비에날씬 플러스 6개월 + 멀티비타민 1box (2개월분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=11218011309&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F11218011309&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_007,"관절엔 아나파랙틴 3개월 (천심련추출물, 비타민K, 비타민D,안드로그라폴라이드)",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=11360449716&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F11360449716&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_008,"[네쇼라 단독 상품] 아나파랙틴 밤 1+1 (바르는 천심련, 파랙틴)",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=10222975495&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10222975495&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_009,비에날 굿브레스 1box,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=9871301215&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F9871301215&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
BP_010,에트나케어 ROCH 피부건강 당귤농축분말 레드오렌지추출물 헤스페리딘 3개월,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=1552334&channelProductNo=10927212363&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F10927212363&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
