broadcast_id,live_name,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text,url
1732092,종근당건강 추석맞이 역대급 라이브 특가💥,2025-09-23,10:58:41,12:00:24,61,12003,1,실시간 구매인증 이벤트 / 구매인증 / SK주유권 3만원권,https://view.shoppinglive.naver.com/replays/1732092
1716517,종근당건강 BIG브랜드데이🔥라이브중 한정특가🔥,2025-09-12,11:00:17,13:01:23,121,458329,1,실시간 구매인증 이벤트 / 구매인증 / SK주유권 3만원권,https://view.shoppinglive.naver.com/replays/1716517
1698425,종근당건강 🔥브랜드데이 ~55%🔥라이브중에만 1개월분 추가증정!,2025-08-07,10:59:50,12:00:26,60,457219,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트,https://view.shoppinglive.naver.com/replays/1698425
1683258,종근당건강 ✨브랜드데이✨ 라이브중에만 추가 Npay💸 ,2025-07-30,10:59:32,12:00:55,61,456694,1,실시간 구매인증 이벤트 / 구매인증 / 아임비타 이뮨샷 선물세트(20입) 증정!,https://view.shoppinglive.naver.com/replays/1683258
1649916,종근당건강 🔥브랜드데이 ~55%🔥라이브중에만 추가혜택!,2025-06-11,10:59:51,12:01:54,62,515743,1,실시간 구매인증 이벤트 / 구매인증 / 구매상품 한번 더 증정!,https://view.shoppinglive.naver.com/replays/1649916
1639534,[최대51%] 종근당건강 라이브 쿠폰팩 증정!✨,2025-05-27,10:58:11,12:01:23,63,267382,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원+1만원 할인쿠폰,https://view.shoppinglive.naver.com/replays/1639534
1630637,종근당건강 360기획세트 론칭기념! 라이브 단독 추가증정🔥,2025-05-15,11:00:34,12:02:05,61,272835,1,"실시간 구매인증 이벤트 / 구매인증 / 두산베어스 야구티켓(테이블석, 8월중 일정랜덤)",https://view.shoppinglive.naver.com/replays/1630637
1624741,종근당건강 🔥브랜드데이 ~51%🔥특선물 마지막찬스! ,2025-05-08,11:00:14,12:01:22,61,267874,1,실시간 구매인증 이벤트 / 구매인증 / 주유권 5만원,https://view.shoppinglive.naver.com/replays/1624741
1603636,종근당건강 가정의 달 특선물! ~51% LIVE🎁,2025-04-30,10:58:44,12:01:26,62,35970,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트,https://view.shoppinglive.naver.com/replays/1603636
1603633,종근당건강 BIG브랜드데이🔥한정특가🔥,2025-04-16,10:59:22,12:01:40,62,10923,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1603633
1603632,종근당건강 라이브 전제품💛빅세일💛,2025-04-09,10:59:26,12:12:00,72,8684,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원+1만원 할인쿠폰,https://view.shoppinglive.naver.com/replays/1603632
1600025,종근당건강 락토핏x쇼핑Live💖,2025-03-28,11:00:07,12:02:00,61,277617,1,실시간 구매인증 이벤트 / 구매인증 / N페이 1만원,https://view.shoppinglive.naver.com/replays/1600025
1588734,[오픈위크] 100만 고객 돌파기념 추가증정! 종근당건강 빅특가LIVE,2025-03-24,09:59:52,11:01:28,61,291320,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1588734
1581561,네플스 앱 런칭기념! 종근당건강 혜택플러스 LIVE❤️,2025-03-12,09:00:13,10:11:21,71,295162,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 당케어 선물세트,https://view.shoppinglive.naver.com/replays/1581561
1577667,[블루밍데이즈] 종근당건강 라이브 전제품💛빅세일💛,2025-03-05,10:59:35,12:01:11,61,13682,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1577667
1562674,✨종근당건강 라이브특가✨쿠폰+사은품 역대급혜택⚡,2025-02-18,10:59:38,12:02:27,62,302312,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1562674
1550298,종근당건강 최대 50%! 💥단 60분 추가쿠폰발행💥,2025-02-05,11:00:00,12:01:52,61,326256,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트,https://view.shoppinglive.naver.com/replays/1550298
1524172,종근당건강 최대 51%! 💥단하루 설특집 혜택💥,2025-01-20,11:01:41,12:02:59,61,361802,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,https://view.shoppinglive.naver.com/replays/1524172
1466017,종근당건강 단 1시간 ✨라이브특가✨,2024-10-28,09:59:26,11:01:03,61,32983,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 2만원,https://view.shoppinglive.naver.com/replays/1466017
1450097,종근당건강 브랜드데이 라이브 특가!,2024-10-11,09:59:45,11:06:03,66,316350,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 2만원,https://view.shoppinglive.naver.com/replays/1450097
1431637,종근당건강📢명절 전💥마지막 혜택💥,2024-09-10,08:59:41,10:00:47,61,333650,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,https://view.shoppinglive.naver.com/replays/1431637
1407592,종근당건강 추석 얼리버드 라이브 특가🎁,2024-08-27,19:59:50,21:01:30,61,531284,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,https://view.shoppinglive.naver.com/replays/1407592
1380710,종근당건강 라이브특가💥역대최대혜택💥,2024-07-26,09:59:21,11:10:33,71,450247,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,https://view.shoppinglive.naver.com/replays/1380710
1354692,종근당건강 브랜드데이+선착순 굿즈 증정🎁,2024-06-21,20:00:20,21:11:21,71,507616,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 2만원,https://view.shoppinglive.naver.com/replays/1354692
1325590,종근당건강 더보장데이 라이브특가🩵,2024-05-14,10:00:21,11:11:40,71,329035,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 2만원,https://view.shoppinglive.naver.com/replays/1325590
1301214,종근당건강 가정의달 선물대첩🎁키링 100% 증정,2024-04-23,20:00:09,21:11:45,71,417188,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1301214
1287792,종근당건강 봄맞이🌸라이브특가🌸,2024-04-03,10:00:13,11:12:00,71,262119,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1287792
1260853,종근당건강 브랜드데이💥라이브특가💥,2024-03-07,20:00:14,21:11:35,71,298454,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1260853
1212499,[최대 35% 혜택] 종근당건강 설선물대첩🎁,2024-02-01,12:00:12,13:13:25,73,294305,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1212499
1208387,종근당건강🤍새해맞이 라이브 특가🤍,2024-01-04,20:00:13,21:10:55,70,313625,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,https://view.shoppinglive.naver.com/replays/1208387
1183615,종근당건강 올해 마지막💥라이브특가💥,2023-12-05,20:00:11,21:12:00,71,323737,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 3만원,https://view.shoppinglive.naver.com/replays/1183615
1152310,종근당건강 브랜드데이🎉라이브특가🎉1만원 적립혜택!,2023-11-01,20:00:01,21:11:25,71,431544,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 3만원,https://view.shoppinglive.naver.com/replays/1152310
1132322,종근당건강 단 1시간 라이브🎉특가🎉,2023-10-18,21:00:14,22:11:20,71,431341,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,https://view.shoppinglive.naver.com/replays/1132322
1089561,종근당건강 추석선물대첩🎁도착보장🚛,2023-09-18,13:00:08,14:10:45,70,302550,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,https://view.shoppinglive.naver.com/replays/1089561
1049700,종근당건강 브랜드데이 라이브특가🎉,2023-08-01,11:59:56,13:01:40,61,385372,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,https://view.shoppinglive.naver.com/replays/1049700
1018406,종근당건강 최대 48% 역대급 특가🎁,2023-07-03,11:59:58,13:01:39,61,370847,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만,https://view.shoppinglive.naver.com/replays/1018406
938049,종근당건강 브랜드데이 라이브특가💝,2023-05-02,13:00:00,14:01:59,61,286827,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 락토핏 골드 1년치! 증정!,https://view.shoppinglive.naver.com/replays/938049
928831,종근당건강 가정의달 선물대첩🎁💖 N도착보장!🚛,2023-04-24,12:00:01,13:02:34,62,187835,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 아임비타 멀티비타민 바이탈 1박스,https://view.shoppinglive.naver.com/replays/928831
885413,"국민 유산균의 통 큰 혜택! 락토핏 9,900원!",2023-03-21,12:00:00,13:01:37,61,37019,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 락토핏 골드(7통) 1년치,https://view.shoppinglive.naver.com/replays/885413
799276,종근당건강 설 선물대첩💝BIG SALE🎁,2023-01-09,11:59:56,13:01:16,61,35218,1,실시간 구매인증 이벤트 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 코어틴 단백질 에너지바 1박스,https://view.shoppinglive.naver.com/replays/799276
708702,[한국축구 응원해요] 종근당건강 브랜드데이 1시간 특가,2022-11-16,11:59:56,13:00:11,60,145533,1,[※1차] 실시간 구매인증 이마트 1만원 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 실시간 구매인증 ⓛ; [※2차] 실시간 구매인증 이마트 1만원 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 실시간 구매인증 이마트 1만원 상품권 ②; [※3차] 실시간 구매인증 BBQ기프티콘 / 구매인증(주문번호) 실시간 댓글 창에 남겨주세요! / 실시간 구매인증 BBQ기프티콘 ③,https://view.shoppinglive.naver.com/replays/708702
681066,락토핏 리뉴얼🎉론칭쇼!🏃,2022-10-13,20:00:02,21:00:44,60,18954,1,"실시간 구매인증 / 실시간 구매인증을 쇼핑라이브 댓글창에 남겨주세요! / 파리바게뜨 5,000원 쿠폰",https://view.shoppinglive.naver.com/replays/681066
671126,[최대 15%적립] 근/육/건/강/ 코어틴 LIVE💪,2022-09-28,20:00:12,21:01:10,60,57492,1,실시간 채팅 구매인증 / 실시간 구매인증을 쇼핑라이브 댓글창에 남겨주세요! / 신세계상품권 5만원,https://view.shoppinglive.naver.com/replays/671126
660064,가을맞이🍂 종근당건강 메가세일💝,2022-09-20,21:00:13,22:02:05,61,38042,1,실시간 채팅 구매인증 / 구매인증(주문번호)를 남겨주세요! / 굽네치킨 고추바사삭 기프티콘,https://view.shoppinglive.naver.com/replays/660064
627245,추석선물은 '종근당건강'과 함께! 🚚내일도착,2022-09-01,19:58:24,21:03:36,65,117683,1,실시간 채팅 구매인증 / 구매인증(주문번호)를 남겨주세요! / 네이버페이 모바일 1만원 상품권,https://view.shoppinglive.naver.com/replays/627245
621747,종근당건강 LIVE 단 1시간🔥BIG SALE!🏃,2022-08-17,21:00:07,22:01:58,61,16997,1,실시간 구매인증 EVENT / 라이브 방송 시간대 실시간 구매인증을 해주세요! / 배스킨라빈스 패밀리 모바일 기프티콘,https://view.shoppinglive.naver.com/replays/621747
606619,락토핏 솔루션🎉신상 오픈런 SALE!🏃,2022-07-27,20:00:11,21:01:37,61,13867,0,,https://view.shoppinglive.naver.com/replays/606619
586933,"종근당건강, 17일 단 1시간! 다신 없을 반값 혜택!",2022-07-17,20:00:06,21:00:41,60,114941,1,실시간 채팅 구매인증 / 실시간 구매인증을 쇼핑라이브 댓글창에 남겨주세요! / 신세계 모바일상품권 1만원,https://view.shoppinglive.naver.com/replays/586933
561293,종근당건강 상반기결산 최대 35%할인🎉,2022-06-28,20:00:10,21:35:49,95,7928,0,,https://view.shoppinglive.naver.com/replays/561293
