live_code,live_name,live_url
DL_001,[덴프스] 더 특별하게 만들어줄 DENPS GIFT,https://view.shoppinglive.naver.com/replays/635774?fm=shoppinglive&sn=home
DL_002,5월 빅세일 저녁 보너스 LIVE 🎊,https://view.shoppinglive.naver.com/replays/1616156?fm=shoppinglive&sn=home
DL_003,[덴프스] 내 몸에 탁! 맞는 특별한 쇼핑라이브,https://view.shoppinglive.naver.com/replays/619312?fm=shoppinglive&sn=home
DL_004,10/29,https://view.shoppinglive.naver.com/lives/1734892?fm=shoppinglive&sn=home
DL_005,🌈덴프스데이 앵콜! 1+1 타임세일💗,https://view.shoppinglive.naver.com/replays/1351206?fm=shoppinglive&sn=home
DL_006,[더보장데이] 덴프스❤️ 90분한정 혜택 LIVE,https://view.shoppinglive.naver.com/replays/1330847?fm=shoppinglive&sn=home
DL_007,💪초강력 세일로 돌아온 최강세일 LIVE,https://view.shoppinglive.naver.com/replays/1544458?fm=shoppinglive&sn=home
DL_008,[덴프스] 덴프스 홀리데이 특집 LIVE,https://view.shoppinglive.naver.com/replays/1178295?fm=shoppinglive&sn=home
DL_009,[덴프스] 피크닉처럼 설레는 활력충전 LIVE,https://view.shoppinglive.naver.com/replays/907835?fm=shoppinglive&sn=home
DL_010,[덴프스] 소식알림 20만 돌파 기념 LIVE!,https://view.shoppinglive.naver.com/replays/964455?fm=shoppinglive&sn=home
DL_011,🌟어린이날 특집 LIVE! 우리아이 유산균은 덴프스!,https://view.shoppinglive.naver.com/replays/1292348?fm=shoppinglive&sn=home
DL_012,[블루밍데이즈] 🎉유산균이야기 11주년 특집 라이브!,https://view.shoppinglive.naver.com/replays/1464556?fm=shoppinglive&sn=home
DL_013,[블루밍데이즈] 덴프스 속부터 빛나는 아름다움 이너씰!,https://view.shoppinglive.naver.com/replays/1021480?fm=shoppinglive&sn=home
DL_014,[덴프스] 2월엔 혜택도 2배 LIVE!,https://view.shoppinglive.naver.com/replays/868835?fm=shoppinglive&sn=home
