live_code,live_name,live_url
LL_001,종근당건강 라이브특가💥역대최대혜택💥,https://view.shoppinglive.naver.com/replays/1380710?fm=shoppinglive&sn=home
LL_002,빠른배송WEEK! 파격세일✔오늘주문하면 오늘출발!🚚,https://view.shoppinglive.naver.com/replays/439305?fm=shoppinglive&sn=home
LL_003,[블루밍데이즈] 종근당건강 라이브 전제품💛빅세일💛,https://view.shoppinglive.naver.com/replays/1577667?fm=shoppinglive&sn=home
LL_004,락토핏 솔루션🎉신상 오픈런 SALE!🏃,https://view.shoppinglive.naver.com/replays/606619?fm=shoppinglive&sn=home
LL_005,온가족 온국민 온택트(새해福 건강선물 할인전!),https://view.shoppinglive.naver.com/replays/54547?fm=shoppinglive&sn=home
LL_006,🎉종근당건강 2득데이!🎉,https://view.shoppinglive.naver.com/replays/422101?fm=shoppinglive&sn=home
LL_007,종근당건강 추석맞이 역대급 라이브 특가💥,https://view.shoppinglive.naver.com/replays/1732092?fm=shoppinglive&sn=home
LL_008,[장건강특집💪] 전국민 장건강 응원해!,https://view.shoppinglive.naver.com/replays/430858?fm=shoppinglive&sn=home
LL_009,[최대 65%] 설명절 특집🎁특가 내려온다!,https://view.shoppinglive.naver.com/replays/367718?fm=shoppinglive&sn=home
LL_010,빠른배송위크 20%할인+13%적립! 오늘주문오늘출발🚚,https://view.shoppinglive.naver.com/replays/479406?fm=shoppinglive&sn=home
LL_011,봄맞이 락토핏 슈퍼세일! 12%쿠폰+7%적립,https://view.shoppinglive.naver.com/replays/461897?fm=shoppinglive&sn=home
LL_012,종근당건강 최대 50%! 💥단 60분 추가쿠폰발행💥,https://view.shoppinglive.naver.com/replays/1550298?fm=shoppinglive&sn=home
LL_013,[최대35%]단하루 특가!+라이브 단독 사은품100%,https://view.shoppinglive.naver.com/replays/313027?fm=shoppinglive&sn=home
LL_014,[오픈위크] 100만 고객 돌파기념 추가증정! 종근당건강 빅특가LIVE,https://view.shoppinglive.naver.com/replays/1588734?fm=shoppinglive&sn=home
LL_015,[UP TO 60%]블랙페스타 슈퍼세일+사은품 증정,https://view.shoppinglive.naver.com/replays/323711?fm=shoppinglive&sn=home
LL_016,네플스 앱 런칭기념! 종근당건강 혜택플러스 LIVE❤️,https://view.shoppinglive.naver.com/replays/1581561?fm=shoppinglive&sn=home
LL_017,종근당건강 ✨브랜드데이✨ 라이브중에만 추가 Npay💸,https://view.shoppinglive.naver.com/replays/1683258?fm=shoppinglive&sn=home
LL_018,추석선물은 '종근당건강'과 함께! 🚚내일도착,https://view.shoppinglive.naver.com/replays/627245?fm=shoppinglive&sn=home
