live_code,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text
LL_007,2025-09-23,10:58:41,12:00:24,61,12003,1,실시간 구매인증 이벤트 / 구매인증 / SK주유권 3만원권
LL_064,2025-09-12,11:00:17,13:01:23,121,458329,1,실시간 구매인증 이벤트 / 구매인증 / SK주유권 3만원권
LL_060,2025-08-07,10:59:50,12:00:26,60,457219,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트
LL_017,2025-07-30,10:59:32,12:00:55,61,456694,1,실시간 구매인증 이벤트 / 구매인증 / 아임비타 이뮨샷 선물세트(20입) 증정!
LL_052,2025-06-11,10:59:51,12:01:54,62,515743,1,실시간 구매인증 이벤트 / 구매인증 / 구매상품 한번 더 증정!
LL_062,2025-05-27,10:58:11,12:01:23,63,267382,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원+1만원 할인쿠폰
LL_021,2025-05-15,11:00:34,12:02:05,61,272835,1,"실시간 구매인증 이벤트 / 구매인증 / 두산베어스 야구티켓(테이블석, 8월중 일정랜덤)"
LL_056,2025-05-08,11:00:14,12:01:22,61,267874,1,실시간 구매인증 이벤트 / 구매인증 / 주유권 5만원
LL_034,2025-04-30,10:58:44,12:01:26,62,35970,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트
LL_050,2025-04-16,10:59:22,12:01:40,62,10923,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원
LL_045,2025-04-09,10:59:26,12:12:00,72,8684,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원+1만원 할인쿠폰
LL_053,2025-03-28,11:00:07,12:02:00,61,277617,1,실시간 구매인증 이벤트 / 구매인증 / N페이 1만원
LL_014,2025-03-24,09:59:52,11:01:28,61,291320,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원
LL_016,2025-03-12,09:00:13,10:11:21,71,295162,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 당케어 선물세트
LL_003,2025-03-05,10:59:35,12:01:11,61,13682,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원
LL_071,2025-02-18,10:59:38,12:02:27,62,302312,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원
