brand,search_volume,date
비에날씬,1.23614,2024-09-27
비에날씬,0.90258,2024-09-28
비에날씬,0.94182,2024-09-29
비에날씬,1.09879,2024-09-30
비에날씬,1.04974,2024-10-01
비에날씬,0.70636,2024-10-02
비에날씬,0.96144,2024-10-03
비에날씬,0.86333,2024-10-04
비에날씬,0.93201,2024-10-05
비에날씬,1.03992,2024-10-06
비에날씬,1.15765,2024-10-07
비에날씬,1.26557,2024-10-08
비에날씬,1.20671,2024-10-09
비에날씬,1.37349,2024-10-10
비에날씬,1.25576,2024-10-11
비에날씬,1.24595,2024-10-12
비에날씬,1.11841,2024-10-13
비에날씬,1.4814,2024-10-14
비에날씬,1.295,2024-10-15
비에날씬,1.54027,2024-10-16
비에날씬,1.23614,2024-10-17
비에날씬,1.00068,2024-10-18
비에날씬,0.84371,2024-10-19
비에날씬,0.95163,2024-10-20
비에날씬,0.82409,2024-10-21
비에날씬,0.96144,2024-10-22
비에날씬,1.17727,2024-10-23
비에날씬,1.03011,2024-10-24
비에날씬,1.16746,2024-10-25
비에날씬,0.73579,2024-10-26
비에날씬,1.14784,2024-10-27
비에날씬,1.06936,2024-10-28
비에날씬,0.94182,2024-10-29
비에날씬,0.96144,2024-10-30
비에날씬,0.95163,2024-10-31
비에날씬,1.14784,2024-11-01
비에날씬,0.93201,2024-11-02
비에날씬,0.90258,2024-11-03
비에날씬,1.06936,2024-11-04
비에날씬,1.08898,2024-11-05
비에날씬,0.84371,2024-11-06
비에날씬,0.86333,2024-11-07
비에날씬,0.94182,2024-11-08
비에날씬,0.81428,2024-11-09
비에날씬,0.85352,2024-11-10
비에날씬,0.98106,2024-11-11
비에날씬,1.12822,2024-11-12
비에날씬,1.09879,2024-11-13
비에날씬,1.12822,2024-11-14
비에날씬,1.03011,2024-11-15
비에날씬,0.66712,2024-11-16
비에날씬,1.22633,2024-11-17
비에날씬,1.25576,2024-11-18
비에날씬,1.21652,2024-11-19
비에날씬,1.31462,2024-11-20
비에날씬,1.21652,2024-11-21
비에날씬,1.18708,2024-11-22
비에날씬,0.75542,2024-11-23
비에날씬,1.04974,2024-11-24
비에날씬,1.05955,2024-11-25
