prod_code,prod_name,prod_url
LP_001,종근당건강 락토핏 골드 6통(10개월분)+골드30포 증정 / 20억 보장 생유산균,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=6429050129&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6429050129&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_002,종근당건강 락토핏 키즈 2통(xx120일분) / 비타민D 아연,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=4822064242&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4822064242&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_003,종근당건강 락토핏 코어 60포 xx 3통(180일분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=4822062995&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4822062995&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_004,종근당건강 프로메가 알티지오메가3 듀얼 장용성 소형캡슐 5박스(5개월분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=4730795925&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F4730795925&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_005,"[루지아 +12일분 증정] 종근당건강 아이클리어 루테인지아잔틴 30캡슐, 6개",https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=6468944204&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6468944204&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_006,종근당건강 코어틴 그린프로틴 쉐이크 1박스(18입) 고함량 단백질 음료,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=5948316774&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5948316774&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_007,종근당건강 올앳미 기능성 고함량 어린 콜라겐 3270 2통(2개월분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=5534116069&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5534116069&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_008,[3/28일 입고예정]종근당건강 락토핏 솔루션 둔감한 장 3박스(3개월분) / 100억 CFU 장용성캡슐 장고민 장맞춤유산균 L2B1 엘투비원유산균 둔감 서진이네,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=6907256399&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6907256399&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_009,종근당건강 락토핏 솔루션 예민한 장 3박스(3개월분)+아임비타 구미젤리(6입) 증정 / 100억 CFU 장용성캡슐 장맞춤유산균 tvN 서진이네 속 박서준 유산균 예민,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=6907268823&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6907268823&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_010,종근당건강 락토핏 솔루션 다이어트 1박스 (1개월분) / 체지방 감소 다이어트 유산균,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=6943903850&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F6943903850&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_011,종근당건강 면역비타민C 아연분말스틱 200포(100일분) 1박스,https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=5697977944&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F5697977944&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
LP_012,종근당건강 아임비타 비타민C&D 구미젤리 1박스(90개/1개월분),https://product.shoppinglive.naver.com/bridge/v4/product/shopping?broadcastId=681066&channelProductNo=7138350405&hasHeader=true&isNewWindow=false&sourceUrl=https%3A%2F%2Fsmartstore.naver.com%2Fmain%2Fproducts%2F7138350405&tr=lim&externalServiceId=shoppinglive&returnParams=%7B%7D
